"Bar kod","Naziv robe","Kat.broj","Atribut 3","J.mj.","T.b.","Prod.cijena","VPC-PDV","Zalihe","Kol.vlast.","Rez.kol.","Kol.raspol.","Kol.kom.pri.","Kol.POS","Kol.slož.","Kol.nar.kup.","Kol.nar.dob.","D","Jamstvo","Atest","%max.rb.","Bar kod","Os.pak.","P","Odnos jm2","Kol. jm2","Prod.c. jm2","Drugi naziv robe","Treći naziv robe","Zapremina","Dimenzije","Atribut 1","Opis Atribut 1","Atribut 2","Opis Atribut 2","Opis Atribut 3","Atribut 4","Opis Atribut 4","Ambalaža","Ul.trošarina","Por.na luks.","Smještaj.R.","Smještaj","Zemlj.podr.","Drž.I.S.","Konto","Zadnji ulaz","Zadnji izlaz","Dat.unosa","Dat.izmj.","Dat.VPC","MPC+PDV","prosj. nc","1","2","3","4","5","6","7","8","PPOM","p.na.pot.","%pdv","Povr.nak.","val.","tečaj val.","c.tar.","min.kol.R.","opt.kol.R.","max.kol.R.","min.kol","opt.kol","max.kol","kalo %","proizvođač","Naziv proizvođača","dobavljač","Naziv dobavljača","gr.p.pot.","nor.amb.","www","težina pak.","j.m.težine","Z/V","Najm.ek.kol.","Traj.isporuke","Traj.proizvod.",""
"44213839491","TENISICA UNISEX - SHADOW ORIGINAL VINTAGE - S70424-8","S70424-8 - 465","12","par","6","106.05","53.02","1","1","","1","#N/A","","","","","","","OBUĆA","58.81","44213839491","1","","1 PAR = 1 PAR","1","","SHADOW ORIGINAL VINTAGE","S70424-8","","","","","GRY/BL","GRY/BLK/LIM","12","19SP","19SP","","","","lijepljena/prošivena obuća","","Vijetnam","","","2/28/2019","","12/27/2018","8/11/2022","","106.05","21.84","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","brisanje/suho četkanje","","kg","","","","",""
"194917469774","TENISICA MUŠKA - JAZZ ORIGINAL VINTAGE - S70368-203","S70368-203 - 445","10,5","PAR","6","106.05","53.02","1","1","","1","#N/A","","","","","","","OBUĆA","56.36","194917469774","1","","1 PAR = 1 PAR","1","","JAZZ ORIGINAL VINTAGE","S70368-203","","","M","M","Green/","Green/Coral","10,5","SS21","SS21","","","","","","Vijetnam","","","1/12/2021","","11/26/2020","8/11/2022","","106.05","23.14","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.54","kg","","","","",""
"194917738993","OVRATNIK - SOLSTICE NECK GAITER - SAU800034-BK","SAU800034-BK","-","kom","6","20","10","12","12","","12","#N/A","","","","","","","OPREMA","18.6","194917738993","1","","1 kom = 1 kom","12","","SOLSTICE NECK GAITER","SAU800034-BK","","","","","BLACK","BLACK","-","23FW","23FW","","","","","","Kina","","","7/11/2023","","7/11/2023","","","20","8.14","","","","","","","","","","","25","","USD","1.09","6505006090","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","istaknuto na ušivnoj etiketi","","kg","","","","",""
"194917858356","TENISICA ŽENSKA - Guide 14 - S10654-66","S10654-66 - 370","6","PAR","6","139.23","69.61","1","1","","1","#N/A","","","","","","","OBUĆA","43","194917858356","1","","1 PAR = 1 PAR","1","","Guide 14","S10654-66","","","","","VIZI P","VIZI PRO","6","FW21","FW21","","","","lijepljena/prošivena obuća","","Kina","","","11/26/2021","","7/11/2021","8/11/2022","","139.23","39.68","","","","","","","","","","","25","","USD","0.86269825","64041100","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.58","kg","","","","",""
"194917858370","TENISICA ŽENSKA - Guide 14 - S10654-66","S10654-66 - 380","7","PAR","6","139.23","69.61","2","2","","2","#N/A","","","","","","","OBUĆA","43","194917858370","1","","1 PAR = 1 PAR","2","","Guide 14","S10654-66","","","","","VIZI P","VIZI PRO","7","FW21","FW21","","","","lijepljena/prošivena obuća","","Kina","","","11/26/2021","","7/11/2021","8/11/2022","","139.23","39.68","","","","","","","","","","","25","","USD","0.86269825","64041100","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.58","kg","","","","",""
"194917858387","TENISICA ŽENSKA - Guide 14 - S10654-66","S10654-66 - 385","7,5","par","6","139.23","69.61","2","2","","2","#N/A","","","","","","","OBUĆA","43","194917858387","1","","1 PAR = 1 PAR","2","","Guide 14","S10654-66","","","","","VIZI P","VIZI PRO","7,5","FW21","FW21","","","","lijepljena/prošivena obuća","","Kina","","","11/26/2021","","7/11/2021","8/11/2022","","139.23","39.68","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.58","kg","","","","",""
"194917858394","TENISICA ŽENSKA - Guide 14 - S10654-66","S10654-66 - 390","8","par","6","139.23","69.61","2","2","","2","#N/A","","","","","","","OBUĆA","43","194917858394","1","","1 PAR = 1 PAR","2","","Guide 14","S10654-66","","","","","VIZI P","VIZI PRO","8","FW21","FW21","","","","lijepljena/prošivena obuća","","Kina","","","11/26/2021","","7/11/2021","8/11/2022","","139.23","39.68","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.58","kg","","","","",""
"194917858400","TENISICA ŽENSKA - Guide 14 - S10654-66","S10654-66 - 400","8,5","par","6","139.23","69.61","2","2","","2","#N/A","","","","","","","OBUĆA","43","194917858400","1","","1 PAR = 1 PAR","2","","Guide 14","S10654-66","","","","","VIZI P","VIZI PRO","8,5","FW21","FW21","","","","lijepljena/prošivena obuća","","Kina","","","11/26/2021","","7/11/2021","8/11/2022","","139.23","39.68","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.58","kg","","","","",""
"194917858417","TENISICA ŽENSKA - Guide 14 - S10654-66","S10654-66 - 405","9","par","6","139.23","69.61","1","1","","1","#N/A","","","","","","","OBUĆA","43","194917858417","1","","1 PAR = 1 PAR","1","","Guide 14","S10654-66","","","","","VIZI P","VIZI PRO","9","FW21","FW21","","","","lijepljena/prošivena obuća","","Kina","","","11/26/2021","","7/11/2021","8/11/2022","","139.23","39.68","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.58","kg","","","","",""
"194917858431","TENISICA ŽENSKA - Guide 14 - S10654-66","S10654-66 - 420","10","par","6","139.23","69.61","1","1","","1","#N/A","","","","","","","OBUĆA","43","194917858431","1","","1 PAR = 1 PAR","1","","Guide 14","S10654-66","","","","","VIZI P","VIZI PRO","10","FW21","FW21","","","","lijepljena/prošivena obuća","","Kina","","","11/26/2021","","7/11/2021","8/11/2022","","139.23","39.68","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","0.58","kg","","","","",""
