"Bar kod","Naziv robe","Kat.broj","Atribut 3","J.mj.","T.b.","Prod.cijena","VPC-PDV","Zalihe","Kol.vlast.","Rez.kol.","Kol.raspol.","Kol.kom.pri.","Kol.POS","Kol.slož.","Kol.nar.kup.","Kol.nar.dob.","D","Jamstvo","Atest","%max.rb.","Bar kod","Os.pak.","P","Odnos jm2","Kol. jm2","Prod.c. jm2","Drugi naziv robe","Treći naziv robe","Zapremina","Dimenzije","Atribut 1","Opis Atribut 1","Atribut 2","Opis Atribut 2","Opis Atribut 3","Atribut 4","Opis Atribut 4","Ambalaža","Ul.trošarina","Por.na luks.","Smještaj.R.","Smještaj","Zemlj.podr.","Drž.I.S.","Konto","Zadnji ulaz","Zadnji izlaz","Dat.unosa","Dat.izmj.","Dat.VPC","MPC+PDV","prosj. nc","1","2","3","4","5","6","7","8","PPOM","p.na.pot.","%pdv","Povr.nak.","val.","tečaj val.","c.tar.","min.kol.R.","opt.kol.R.","max.kol.R.","min.kol","opt.kol","max.kol","kalo %","proizvođač","Naziv proizvođača","dobavljač","Naziv dobavljača","gr.p.pot.","nor.amb.","www","težina pak.","j.m.težine","Z/V","Najm.ek.kol.","Traj.isporuke","Traj.proizvod.",""
"18466649336","JAKNA M. - COOLDOWN JACKET - SAM800185-DGHBK","SAM800185-DGHBK - 52-L","52/L","KOM","6","72.86","36.43","4","4","","4","4","1","","","","","APP","TEKSTIL-SAUCONY","30.55","18466649336","","","1 kom = 1 kom","4","","COOLDOWN JACKET","SAM800185-DGHBK","","","M","M","DGH","DGH","52/L","19FW","19FW","","","","","","Indonezija","","","8/9/2019","3/28/2023","8/9/2019","10/19/2022","8/9/2019","72.86","25.3","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466649343","JAKNA M. - COOLDOWN JACKET - SAM800185-DGHBK","SAM800185-DGHBK - 50-M","50/M","KOM","6","72.86","36.43","5","5","","5","5","1","","","","","APP","TEKSTIL-SAUCONY","30.55","18466649343","","","1 kom = 1 kom","5","","COOLDOWN JACKET","SAM800185-DGHBK","","","M","M","DGH","DGH","50/M","19FW","19FW","","","","","","Indonezija","","","8/9/2019","","8/9/2019","10/19/2022","8/9/2019","72.86","25.3","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466649367","JAKNA M. - COOLDOWN JACKET - SAM800185-DGHBK","SAM800185-DGHBK - 54-XL","54/XL","KOM","6","72.86","36.43","1","1","","1","1","1","","","","","APP","TEKSTIL-SAUCONY","30.55","18466649367","","","1 kom = 1 kom","1","","COOLDOWN JACKET","SAM800185-DGHBK","","","M","M","DGH","DGH","54/XL","19FW","19FW","","","","","","Indonezija","","","8/9/2019","2/9/2022","8/9/2019","10/19/2022","8/9/2019","72.86","25.3","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466653753","HLAČE M. - COOLDOWN WOVEN PANT - SAM800188-BK","SAM800188-BK - 52","52/L","kom","6","66.23","33.11","2","2","","2","2","1","","","","","APP","TEKSTIL-SAUCONY","34.64","18466653753","","","1 kom = 1 kom","2","","COOLDOWN WOVEN PANT","SAM800188-BK","","","M","M","BK","BK","52/L","19FW","19FW","","","","","","Indonezija","","","8/13/2019","","8/13/2019","11/11/2022","8/13/2019","66.23","21.64","","","","","","","","","","","25","","USD","0.86269825","6203439010","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466653777","HLAČE M. - COOLDOWN WOVEN PANT - SAM800188-BK","SAM800188-BK - 50","50/M","kom","6","66.23","33.11","1","1","","1","1","1","","","","","","","34.64","18466653777","","","1 kom = 1 kom","1","","COOLDOWN WOVEN PANT","SAM800188-BK","","","M","M","BK","BK","50/M","19FW","19FW","","","","","","Indonezija","","","8/13/2019","4/27/2023","8/13/2019","11/11/2022","8/13/2019","66.23","21.64","","","","","","","","","","","25","","EUR","1","6203439010","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466653791","HLAČE M. - COOLDOWN WOVEN PANT - SAM800188-BK","SAM800188-BK - 48","48/S","kom","6","66.23","33.11","1","1","","1","1","1","","","","","","","34.64","18466653791","","","1 kom = 1 kom","1","","COOLDOWN WOVEN PANT","SAM800188-BK","","","M","M","BK","BK","48/S","19FW","19FW","","","","","","Indonezija","","","8/13/2019","","8/13/2019","11/11/2022","8/13/2019","66.23","21.64","","","","","","","","","","","25","","USD","0.86269825","6203439010","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466655719","KR. HLAČE M. - ENDORPHINE HALF TIGHT - SAM800190-BK","SAM800190-BK - 52-L","52/L","kom","6","46.32","23.16","1","1","","1","1","1","","","","","","","-6.43","18466655719","","","1 kom = 1 kom","1","","NDORPHINE HALF TIGHT","SAM800190-BK","","","M","M","BK","BK","52/L","19FW","19FW","","","","","","Kina","","","8/9/2019","7/4/2023","8/9/2019","10/19/2022","8/9/2019","46.32","24.65","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466655733","KR. HLAČE M. - ENDORPHINE HALF TIGHT - SAM800190-BK","SAM800190-BK - 50-M","50/M","kom","6","46.32","23.16","1","1","","1","1","1","","","","","","","-6.43","18466655733","","","1 kom = 1 kom","1","","NDORPHINE HALF TIGHT","SAM800190-BK","","","M","M","BK","BK","50/M","19FW","19FW","","","","","","Kina","","","8/9/2019","1/16/2023","8/9/2019","8/11/2022","8/9/2019","46.32","24.65","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466655757","KR. HLAČE M. - ENDORPHINE HALF TIGHT - SAM800190-BK","SAM800190-BK - 48-S","48/S","kom","6","46.32","23.16","3","3","","3","3","1","","","","","","","-6.48","18466655757","","","1 kom = 1 kom","3","","NDORPHINE HALF TIGHT","SAM800190-BK","","","M","M","BK","BK","48/S","19FW","19FW","","","","","","Kina","","","8/9/2019","","8/9/2019","10/19/2022","8/9/2019","46.32","24.66","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466655818","KR. HLAČE M. - ENDORPHINE HALF TIGHT - SAM800190-BK","SAM800190-BK - 54-XL","54/XL","kom","6","46.32","23.16","2","2","","2","2","1","","","","","","","-6.48","18466655818","","","1 kom = 1 kom","2","","NDORPHINE HALF TIGHT","SAM800190-BK","","","M","M","BK","BK","54/XL","19FW","19FW","","","","","","Kina","","","8/9/2019","3/3/2022","8/9/2019","10/19/2022","8/9/2019","46.32","24.66","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
