BREND,PARENT SKU,Bar kod,Unnamed: 3,Kratki opis,Veličina,Redovna cijena,Snižena,Količina,Kategorija,Podkategorija,Spol,Podloga,Vrsta proizvoda,Kat.broj za Wand,Vrsta proizvoda.1
SAUCONY,SA81484-BK,44212832653,SAUCONY Scoot Capri,Ženske kratke tajice,40.0,52.96,26.48,2,TRČANJE,ODJEĆA,ŽENE,,ODJEĆA,SAUWAPP,OUTLET
SAUCONY,S10654-45,194713918452,SAUCONY Guide 14,Ženske tenisice za trčanje,36.0,139.23,83.538,1,TRČANJE,TENISICE,ŽENE,Cesta,TENISICE,SAUWFTW,
SAUCONY,S20654-45,194713919329,SAUCONY Guide 14,Muške tenisice za trčanje,48.0,139.23,83.538,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,
SAUCONY,S20654-55,194713919367,SAUCONY Guide 14,Muške tenisice za trčanje,40.0,139.23,83.538,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,
SAUCONY,S70532-1,194713922213,SAUCONY Grid Web,Unisex tenisice,36.0,159.13,79.565,1,TRČANJE,TENISICE,MUŠKARCI|ŽENE,Cesta,TENISICE,SAUUFTW,
SAUCONY,S70555-4,194917399248,SAUCONY Jazz Court,Unisex tenisice,44.0,106.05,53.025,1,TRČANJE,TENISICE,MUŠKARCI|ŽENE,Cesta,TENISICE,SAUUFTW,OUTLET
SAUCONY,S70555-5,194917399354,SAUCONY Jazz Court,Unisex tenisice,38.0,106.05,53.025,1,TRČANJE,TENISICE,MUŠKARCI|ŽENE,Cesta,TENISICE,SAUUFTW,OUTLET
SAUCONY,S10650-35,194917414798,SAUCONY Ride 14,Ženske tenisice za trčanje,36.0,139.23,83.538,2,TRČANJE,TENISICE,ŽENE,Cesta,TENISICE,SAUWFTW,
SAUCONY,S2108-790,194917931561,SAUCONY Shadow Original,Muške tenisice,42.0,112.68,56.34,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,OUTLET
SAUCONY,S10684-26,195017378140,SAUCONY Guide 15,Ženske tenisice za trčanje,38.5,145.86,72.93,1,TRČANJE,TENISICE,ŽENE,Cesta,TENISICE,SAUWFTW,OUTLET
SAUCONY,S20723-45,195017384776,SAUCONY Kinvara 13,Muške tenisice za trčanje,42.0,132.59,79.554,2,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,
SAUCONY,S20678-16,195017540837,SAUCONY Triumph 19,Muške tenisice za trčanje,40.0,172.41,120.687,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,
SAUCONY,S20681-16,195017541285,SAUCONY Omni 20,Muške tenisice za trčanje,40.0,145.86,102.102,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,
SAUCONY,S20687-45,195017675607,SAUCONY Endorphin Pro 2,Muške tenisice za trčanje,42.0,212.22,148.554,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,
SAUCONY,S20688-16,195017676178,SAUCONY Endorphin Speed 2,Muške tenisice za trčanje,40.0,179.04,107.424,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,OUTLET
SAUCONY,S20688-45,195017676598,SAUCONY Endorphin Speed 2,Muške tenisice za trčanje,48.0,179.04,107.424,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,OUTLET
SAUCONY,S20759-31,195018088512,SAUCONY Triumph 20,Muške tenisice za trčanje,40.5,179.04,107.424,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,OUTLET
SAUCONY,S20813-65,195018351487,SAUCONY Endorphin Shift 3,Muške tenisice za trčanje,41.0,159.13,111.391,1,TRČANJE,TENISICE,MUŠKARCI,Cesta,TENISICE,SAUMFTW,
