"BREND","PARENT SKU","Bar kod","","Kratki opis","Veličina","Redovna cijena","Snižena","Količina","Kategorija","Podkategorija","Spol","Podloga","Vrsta proizvoda","Kat.broj za Wand","Vrsta proizvoda"
"SAUCONY","SAM800188-BK","18466653753","SAUCONY Cooldown Woven Pant","Muške hlače"," 52","66.23","46.36","2","TRČANJE","ODJEĆA","MUŠKARCI","","ODJEĆA","SAUMAPP",""
"SAUCONY","S10447-2","44208283537","SAUCONY Clarion","Ženske tenisice za trčanje","37.5","99.41","49.705","1","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW","OUTLET"
"SAUCONY","S10462-36","44208286644","SAUCONY Triumph ISO 5","Ženske tenisice za trčanje","37.5","172.41","68.964","1","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW","OUTLET"
"SAUCONY","S10492-41","44208290634","SAUCONY Jazz 21","Ženske tenisice za trčanje","37","119.32","59.66","1","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW","OUTLET"
"SAUCONY","S20410-36","44208290788","SAUCONY Liberty ISO","Muške tenisice za trčanje","42","172.41","68.964","2","TRČANJE","TENISICE","MUŠKARCI","Cesta","TENISICE","SAUMFTW","OUTLET"
"SAUCONY","S10256-1","44209716225","SAUCONY Guide 8","Ženske tenisice za trčanje","37","132.59","46.4065","1","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW","OUTLET"
"SAUCONY","S1044-521","44209794834","SAUCONY Jazz Original","Ženske tenisice","38","99.41","69.587","1","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW",""
"SAUCONY","S60368-61","44209799693","SAUCONY Jazz Original Vintage","Ženske tenisice","37.5","92.77","46.385","1","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW","OUTLET"
"SAUCONY","S60368-62","44209799815","SAUCONY Jazz Original Vintage","Ženske tenisice","37","92.77","46.385","1","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW","OUTLET"
"SAUCONY","S60368-65","44209800085","SAUCONY Jazz Original Vintage","Ženske tenisice","36","92.77","46.385","2","TRČANJE","TENISICE","ŽENE","Cesta","TENISICE","SAUWFTW","OUTLET"
