Redni broj,Naziv artikla / opis usluge,SKU,Kataloški broj,Bar kod,Količina,Sezona
1,TENISICA ŽENSKA - Guide 8 - S10256-1,S10256-1,S10256-1 - 370,44209716225,1,16SP
2,TENISICA ŽENSKA - Guide 8 - S10256-1,S10256-1,S10256-1 - 425,44209716317,1,16SP
3,TENISICA ŽENSKA - Mirage 5 - S10267-3,S10267-3,S10267-3 - 370,44212476420,2,16SP
4,TENISICA ŽENSKA - Mirage 5 - S10267-3,S10267-3,S10267-3 - 425,44212476512,1,16SP
5,TENISICA ŽENSKA - Nomad TR - S10287-5,S10287-5,S10287-5 - 360,646881895917,1,16FW
6,TENISICA ŽENSKA - Nomad TR - S10287-5,S10287-5,S10287-5 - 370,646881895924,1,16FW
7,TENISICA ŽENSKA - Nomad TR - S10287-5,S10287-5,S10287-5 - 375,646881895931,2,16FW
8,TENISICA ŽENSKA - Triumph ISO 2 - S10290-3,S10290-3,S10290-3 - 360,44214766314,4,16SP
9,TENISICA ŽENSKA - Triumph ISO 2 - S10290-6,S10290-6,S10290-6 - 370,646881896372,2,16FW
10,TENISICA ŽENSKA - Triumph ISO 2 - S10290-6,S10290-6,S10290-6 - 380,646881896396,2,16FW
11,TENISICA ŽENSKA - Triumph ISO 2 - S10290-6,S10290-6,S10290-6 - 410,646881896440,1,16FW
12,TENISICA ŽENSKA - Guide 9 - S10295-5,S10295-5,S10295-5 - 360,646881896969,1,16FW
13,TENISICA ŽENSKA - Guide 9 - S10295-5,S10295-5,S10295-5 - 375,646881896983,1,16FW
14,TENISICA ŽENSKA - Guide 9 - S10295-5,S10295-5,S10295-5 - 380,646881896990,4,16FW
15,TENISICA ŽENSKA - Kinvara 7 - S10298-1,S10298-1,S10298-1 - 370,635841204845,2,16FW
16,TENISICA ŽENSKA - Kinvara 7 - S10298-1,S10298-1,S10298-1 - 375,635841204852,1,16FW
17,TENISICA  ŽENSKA - Breakthru 2 - S10304-3,S10304-3,S10304-3 - 370,646881897577,2,16FW
18,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 360,720026731589,2,17SP
19,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 370,720026731596,3,17SP
20,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 375,720026731602,3,17SP
21,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 380,720026731619,4,17SP
22,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 385,720026731626,3,17SP
23,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 390,720026731633,1,17SP
24,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 400,720026731640,1,17SP
25,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 420,720026731671,2,17SP
26,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 425,720026731688,3,17SP
27,TENISICA ŽENSKA - OMNI 15 - S10315-4,S10315-4,S10315-4 - 430,720026731695,2,17SP
28,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 360,720026731732,2,17SP
29,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 370,720026731749,2,17SP
30,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 375,720026731756,2,17SP
31,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 385,720026731770,2,17SP
32,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 390,720026731787,1,17SP
33,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 420,720026731824,1,17SP
34,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 425,720026731831,2,17SP
35,TENISICA ŽENSKA - OMNI 15 - S10315-5,S10315-5,S10315-5 - 430,720026731848,2,17SP
36,TENISICA ŽENSKA - Ride 9 - S10318-2,S10318-2,S10318-2 - 370,646881899229,1,16FW
37,TENISICA ŽENSKA - Ride 9 - S10318-2,S10318-2,S10318-2 - 380,646881899243,1,16FW
38,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 370,720026733248,2,17SP
39,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 375,720026733255,3,17SP
40,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 380,720026733262,2,17SP
41,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 385,720026733279,3,17SP
42,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 390,720026733286,1,17SP
43,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 400,720026733293,1,17SP
44,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 425,720026733330,1,17SP
45,TENISICA ŽENSKA - HURRICANE ISO3 - S10348-1,S10348-1,S10348-1 - 430,720026733347,1,17SP
46,TENISICA ŽENSKA - HURRICANE ISO 3 - S10348-5,S10348-5,S10348-5 - 385,883799348238,1,17FW
47,TENISICA ŽENSKA - GUIDE 10 - S10350-2,S10350-2,S10350-2 - 355,720026734146,1,17SP
48,TENISICA ŽENSKA - GUIDE 10 - S10350-2,S10350-2,S10350-2 - 360,720026734153,2,17SP
49,TENISICA ŽENSKA - GUIDE 10 - S10350-2,S10350-2,S10350-2 - 370,720026734160,1,17SP
50,TENISICA ŽENSKA - GUIDE 10 - S10350-2,S10350-2,S10350-2 - 375,720026734177,1,17SP
51,TENISICA ŽENSKA - GUIDE 10 - S10350-2,S10350-2,S10350-2 - 380,720026734184,2,17SP
52,TENISICA ŽENSKA - GUIDE 10 - S10350-2,S10350-2,S10350-2 - 425,720026734252,1,17SP
53,TENISICA ŽENSKA - BREAKTHRU 3 - S10358-4,S10358-4,S10358-4 - 425,883799350545,2,17FW
54,TENISICA ŽENSKA - BREAKTHRU 3 - S10358-4,S10358-4,S10358-4 - 440,883799350569,2,17FW
55,TENISICA ŽENSKA - PEREGRINE 7 - S10359-2,S10359-2,S10359-2 - 360,720026736560,3,17SP
56,TENISICA ŽENSKA - PEREGRINE 7 - S10359-2,S10359-2,S10359-2 - 370,720026736577,3,17SP
57,TENISICA ŽENSKA - PEREGRINE 7 - S10359-2,S10359-2,S10359-2 - 385,720026736607,1,17SP
58,TENISICA ŽENSKA - PEREGRINE 7 - S10359-2,S10359-2,S10359-2 - 425,720026736669,3,17SP
59,TENISICA ŽENSKA - PEREGRINE 7 - S10359-2,S10359-2,S10359-2 - 430,720026736676,3,17SP
60,TENISICA ŽENSKA - PEREGRINE 7 - S10359-4,S10359-4,S10359-4 - 370,883799350903,2,17FW
61,TENISICA ŽENSKA - PEREGRINE 7 - S10359-4,S10359-4,S10359-4 - 375,883799350910,2,17FW
62,TENISICA ŽENSKA - PEREGRINE 7 - S10359-4,S10359-4,S10359-4 - 380,883799350927,3,17FW
63,TENISICA ŽENSKA - OMNI 16 - S10370-3,S10370-3,S10370-3 - 360,883799351948,1,17FW
64,TENISICA ŽENSKA - OMNI 16 - S10370-3,S10370-3,S10370-3 - 370,883799351955,1,17FW
65,TENISICA ŽENSKA - OMNI 16 - S10370-3,S10370-3,S10370-3 - 375,883799351962,1,17FW
66,TENISICA ŽENSKA - OMNI 16 - S10370-3,S10370-3,S10370-3 - 380,883799351979,2,17FW
67,TENISICA ŽENSKA - OMNI 16 - S10370-3,S10370-3,S10370-3 - 425,883799352044,1,17FW
68,TENISICA ŽENSKA - OMNI 16 - S10370-3,S10370-3,S10370-3 - 430,883799352051,2,17FW
69,TENISICA ŽENSKA - OMNI 16 - S10370-5,S10370-5,S10370-5 - 380,884401786356,1,18SP
70,TENISICA ŽENSKA - OMNI 16 - S10370-5,S10370-5,S10370-5 - 390,884401786370,1,18SP
71,TENISICA ŽENSKA - OMNI 16 - S10370-5,S10370-5,S10370-5 - 425,884401786424,1,18SP
72,TENISICA ŽENSKA - OMNI 16 - S10370-5,S10370-5,S10370-5 - 430,884401786431,1,18SP
73,TENISICA ŽENSKA - RIDE 10 - S10373-8,S10373-8,S10373-8 - 360,884401787223,2,18SP
74,TENISICA ŽENSKA - RIDE 10 - S10373-8,S10373-8,S10373-8 - 370,884401787230,2,18SP
75,TENISICA ŽENSKA - RIDE 10 - S10373-8,S10373-8,S10373-8 - 430,884401787339,1,18SP
76,TENISICA ŽENSKA - XODUS ISO 2 - S10387-5,S10387-5,S10387-5 - 370,884401787988,1,18SP
77,TENISICA ŽENSKA - XODUS ISO 2 - S10387-5,S10387-5,S10387-5 - 375,884401787995,1,18SP
78,TENISICA ŽENSKA - EXCURSION TR11 - S10392-4,S10392-4,S10392-4 - 360,883799357193,3,17FW
79,TENISICA ŽENSKA - EXCURSION TR11 - S10392-4,S10392-4,S10392-4 - 370,883799357209,1,17FW
80,TENISICA ŽENSKA - EXCURSION TR11 GTX - S10394-1,S10394-1,S10394-1 - 355,883799357483,2,17FW
81,TENISICA ŽENSKA - EXCURSION TR11 GTX - S10394-1,S10394-1,S10394-1 - 360,883799357490,1,17FW
82,TENISICA ŽENSKA - LIBERTY ISO - S10410-2,S10410-2,S10410-2 - 370,884401789005,1,18SP
83,TENISICA ŽENSKA - LIBERTY ISO - S10410-2,S10410-2,S10410-2 - 375,884401789012,1,18SP
84,TENISICA ŽENSKA - LIBERTY ISO - S10410-2,S10410-2,S10410-2 - 430,884401789098,2,18SP
85,TENISICA ŽENSKA - TRIUMPH ISO 4 - S10413-2,S10413-2,S10413-2 - 370,884401790209,1,18SP
86,TENISICA ŽENSKA - TRIUMPH ISO 4 - S10413-35,S10413-35,S10413-35 - 360,884547877659,1,18FW
87,TENISICA ŽENSKA - GUIDE ISO - S10415-30,S10415-30,S10415-30 - 390,884401444416,1,18SP
88,TENISICA ŽENSKA - GUIDE ISO - S10415-35,S10415-35,S10415-35 - 375,884547878274,1,18FW
89,TENISICA ŽENSKA - JAZZ 20 - S10423-2,S10423-2,S10423-2 - 380,884401865471,1,18SP
90,TENISICA ŽENSKA - JAZZ 20 - S10423-30,S10423-30,S10423-30 - 430,884401865693,1,18SP
91,TENISICA ŽENSKA - Jazz Original - S1044-361,S1044-361,S1044-361 - 390,635841211966,1,16SP
92,TENISICA ŽENSKA - JAZZ ORIGINAL - S1044-521,S1044-521,S1044-521 - 380,44209794834,1,SS21
93,TENISICA ŽENSKA - JAZZ ORIGINAL - S1044-521,S1044-521,S1044-521 - 385,44209794841,1,SS21
94,TENISICA ŽENSKA - JAZZ ORIGINAL - S1044-521,S1044-521,S1044-521 - 400,44209794865,2,SS21
95,TENISICA ŽENSKA - JAZZ ORIGINAL - S1044-521,S1044-521,S1044-521 - 405,44209794872,1,SS21
96,TENISICA ŽENSKA - JAZZ ORIGINAL - S1044-606,S1044-606,S1044-606 - 375,194917385616,3,SS21
